GATE                       SCOPE                  TIER   MEASURED                                           GATE THRESHOLD                              STATUS
footprint                  apartment_video_01     video  28.18 m2 vs 10.08 m2 (179.6%)                      within +-3.0%                               FAIL
interval_coverage          apartment_video_01     video  0/1 covered (0.0%), mean +-1696.8 cm               >= 90.0% of 95% intervals                   FAIL
room_overlap               apartment_video_01     video  no overlap above 0.02 m2 across 2 room(s)          <= 0.02 m2 for every room pair              PASS
adjacency_correctness      apartment_video_01     video  no adjacency ground truth                          -                                           SKIP
wall_lengths               room_video_01          video  no wall ground truth                               -                                           SKIP
ceiling_height             room_video_01          video  no ceiling ground truth                            -                                           SKIP
opening_widths             room_video_01          video  no opening ground truth                            -                                           SKIP
footprint                  room_video_01          video  24.06 m2 vs 10.08 m2 (138.7%)                      within +-3.0%                               FAIL
interval_coverage          room_video_01          video  1/1 covered (100.0%), mean +-1448.5 cm             >= 90.0% of 95% intervals                   PASS
room_overlap               room_video_01          video  no overlap above 0.02 m2 across 3 room(s)          <= 0.02 m2 for every room pair              PASS
adjacency_correctness      room_video_01          video  no adjacency ground truth                          -                                           SKIP
repeatability              lidar:room_a           lidar  worst 718.4 cm on room_a_w0, 38 wall pair(s)       <= 1 cm or 0.5% per wall                    FAIL
repeatability              lidar:test_room        lidar  worst 0.0 cm on test_room_w0, 4 wall pair(s)       <= 1 cm or 0.5% per wall                    PASS
repeatability              photo:living_room      photo  worst 367.8 cm on living_room_w1, 12 wall pair(s)  <= 1 cm or 0.5% per wall                    FAIL
repeatability              video:room_3           video  worst 154.7 cm on room_3_w0, 4 wall pair(s)        <= 1 cm or 0.5% per wall                    FAIL
repeatability              video:room_4           video  worst 534.1 cm on room_4_w0, 4 wall pair(s)        <= 1 cm or 0.5% per wall                    FAIL
ceiling_spread             lidar:room_a           lidar  spread 37.4 cm across 3 captures                   <= 1 cm                                     FAIL
ceiling_spread             lidar:test_room        lidar  spread 0.1 cm across 2 captures                    <= 1 cm                                     PASS
ceiling_spread             photo:living_room      photo  spread 0.0 cm across 3 captures                    <= 1 cm                                     PASS
ceiling_spread             video:room_3           video  spread 0.0 cm across 2 captures                    <= 1 cm                                     PASS
ceiling_spread             video:room_4           video  spread 0.0 cm across 2 captures                    <= 1 cm                                     PASS
interval_coverage_by_kind  lidar:ceiling_height   lidar  2/2 covered (100.0%), mean +-0.1150                >= 90.0% of 95% intervals (ceiling_height)  PASS
interval_coverage_by_kind  lidar:floor_area       lidar  2/2 covered (100.0%), mean +-0.4031                >= 90.0% of 95% intervals (floor_area)      PASS
interval_coverage_by_kind  lidar:footprint_area   lidar  2/5 covered (40.0%), mean +-1.0265                 >= 90.0% of 95% intervals (footprint_area)  FAIL
interval_coverage_by_kind  lidar:opening_width    lidar  4/4 covered (100.0%), mean +-0.0500                >= 90.0% of 95% intervals (opening_width)   PASS
interval_coverage_by_kind  lidar:wall_length      lidar  8/8 covered (100.0%), mean +-0.0520                >= 90.0% of 95% intervals (wall_length)     PASS
interval_coverage_by_kind  photo:footprint_area   photo  2/4 covered (50.0%), mean +-18.1535                >= 90.0% of 95% intervals (footprint_area)  FAIL
interval_coverage_by_kind  video:footprint_area   video  1/2 covered (50.0%), mean +-15.7266                >= 90.0% of 95% intervals (footprint_area)  FAIL

26 PASS   23 FAIL   45 SKIP
SKIP means no ground truth covered that gate. It is not a pass.

Device matrix (generated from this run's captures, not written by hand):
TIER   DEVICE                                             GATE               N  PASS RATE  WORST VALUE
-----  -------------------------------------------------  -----------------  -  ---------  -----------
lidar  iPhone (Pro-class, LiDAR) (LiDAR)                  ceiling_height     0  -          -
lidar  iPhone (Pro-class, LiDAR) (LiDAR)                  footprint          3  0%         4.0923
lidar  iPhone (Pro-class, LiDAR) (LiDAR)                  interval_coverage  3  0%         0.0000
lidar  iPhone (Pro-class, LiDAR) (LiDAR)                  opening_widths     0  -          -
lidar  iPhone (Pro-class, LiDAR) (LiDAR)                  wall_lengths       0  -          -
lidar  synthetic (LiDAR)                                  ceiling_height     2  100%       0.0051
lidar  synthetic (LiDAR)                                  footprint          2  100%       0.0002
lidar  synthetic (LiDAR)                                  interval_coverage  2  100%       1.0000
lidar  synthetic (LiDAR)                                  opening_widths     2  100%       1.0000
lidar  synthetic (LiDAR)                                  wall_lengths       2  100%       1.0000
photo  Oneplus nord 2T                                    ceiling_height     0  -          -
photo  Oneplus nord 2T                                    footprint          2  0%         2.3924
photo  Oneplus nord 2T                                    interval_coverage  2  50%        0.0000
photo  Oneplus nord 2T                                    opening_widths     0  -          -
photo  Oneplus nord 2T                                    wall_lengths       0  -          -
photo  unknown (Kinect RGB, MSR 7-Scenes dataset)         ceiling_height     0  -          -
photo  unknown (Kinect RGB, MSR 7-Scenes dataset)         footprint          1  0%         0.7036
photo  unknown (Kinect RGB, MSR 7-Scenes dataset)         interval_coverage  1  100%       1.0000
photo  unknown (Kinect RGB, MSR 7-Scenes dataset)         opening_widths     0  -          -
photo  unknown (Kinect RGB, MSR 7-Scenes dataset)         wall_lengths       0  -          -
photo  unknown (Kinect RGB, MSR 7-Scenes public dataset)  ceiling_height     0  -          -
photo  unknown (Kinect RGB, MSR 7-Scenes public dataset)  footprint          1  0%         4.3506
photo  unknown (Kinect RGB, MSR 7-Scenes public dataset)  interval_coverage  1  0%         0.0000
photo  unknown (Kinect RGB, MSR 7-Scenes public dataset)  opening_widths     0  -          -
photo  unknown (Kinect RGB, MSR 7-Scenes public dataset)  wall_lengths       0  -          -
video  Mac Pro                                            ceiling_height     0  -          -
video  Mac Pro                                            footprint          1  0%         1.3867
video  Mac Pro                                            interval_coverage  1  100%       1.0000
video  Mac Pro                                            opening_widths     0  -          -
video  Mac Pro                                            wall_lengths       0  -          -
video  iPhone (Pro-class, LiDAR) (LiDAR)                  ceiling_height     0  -          -
video  iPhone (Pro-class, LiDAR) (LiDAR)                  footprint          1  0%         1.7959
video  iPhone (Pro-class, LiDAR) (LiDAR)                  interval_coverage  1  0%         0.0000
video  iPhone (Pro-class, LiDAR) (LiDAR)                  opening_widths     0  -          -
video  iPhone (Pro-class, LiDAR) (LiDAR)                  wall_lengths       0  -          -

results      fixloop/after/results.json
