capture,tier,seconds,exit_code
synthetic_room,lidar,2.3,0
synthetic_no_ceiling,lidar,2.1,0
apartment_lidar,lidar,6.2,0
scan_with_ceiling,lidar,65.5,0
scan_floor_only,lidar,21.2,0
demo_office,photo,42.0,0
saurabh_room,photo,46.9,0
saurabh_room_photo,photo,88.8,0
demo_fourroom,photo,136.3,0
apartment_video,video,98.2,0
saurabh_room_video,video,145.9,0
